palabra_objetivo,respuesta_palabra,definicion,respuesta_definicion,sujeto,condicion,palabra_correcta,definicion_correcta,nota_scoring_definicion
GREBA,GREBA,Armadura Para La Rodilla,armadura de rodilla,Sujeto 3,Vigilia,True,True,armadura de rodilla conserva significado
MAINEL,MAIQUI,Baranda De Una Escalera,baranda de una escalera,Sujeto 3,Vigilia,False,True,exacto
JABARDO,JAQUITO,Aglomeración De Gente,conglomeradp de gente,Sujeto 3,Vigilia,False,True,conglomerado de gente conserva aglomeracion
SAMARUGO,SABAL,Renacuajo De Una Rana,Renacuajo De sapo,Sujeto 3,Vigilia,False,True,renacuajo de sapo conserva renacuajo
BADINA,BALTO,Charco De Agua,Charco De Agua,Sujeto 3,Vigilia,False,True,exacto
TINELO,TIRAL,Comedor Para La Servidumbre,Comedor de La Servidumbre,Sujeto 3,Vigilia,False,True,comedor de la servidumbre conserva significado
NENIA,NEGAL,Poema Fúnebre,Poema de entierro,Sujeto 3,Vigilia,False,True,poema de entierro conserva significado
CÍTOLA,CITO,Instrumento Musical Antiguo,Instrumento de la antigüedad,Sujeto 3,Vigilia,False,False,instrumento de la antiguedad omite que es musical
NOMON,NOMON,Reloj De Sol,Reloj De Sol,Sujeto 4,Sueño,True,True,exacto
ZORCICO,ZORCICO,Tipo De Música Española,Tipo De Música Española,Sujeto 4,Sueño,True,True,exacto
MARMITÓN,MARMITÓN,Ayudante De Cocina,Ayudante De Cocina,Sujeto 4,Sueño,True,True,exacto
EPINICIO,EPINICIO,Canto De Victoria,Canto De Victoria,Sujeto 4,Sueño,True,True,exacto
ERGOTINA,ERGOTINA,Remedio Para Hemorragias,Remedio Para Hemorragias,Sujeto 4,Sueño,True,True,exacto
RETEL,RETEL,Red Para Pescar,Red Para Pescar,Sujeto 4,Sueño,True,True,red para pescar conserva funcion
CAURO,CAURO,Viento Del Noroeste,Viento Del Noroeste,Sujeto 4,Sueño,True,True,exacto
QUIMA,QUIMA,Rama Nueva De Un Árbol,Rama Nueva De Un Árbol,Sujeto 4,Sueño,True,True,exacto
PILTRO,PILTRO,Habitación De Un Templo,Habitación De Un Templo,Sujeto 4,Sueño,True,True,exacto
FISGA,FISGA,Arpón Para Pescar,Arpón Para Pescar,Sujeto 4,Sueño,True,True,exacto
POSMA,POSMA,Lentitud Para Hacer Algo,Hacer algo con lentitud,Sujeto 4,Sueño,True,True,hacer algo con lentitud conserva significado
LASTO,LASTO,Recibo De Pago,Recibo De compra,Sujeto 4,Sueño,True,True,recibo de compra conserva categoria de recibo
GREBA,GREBA,Armadura Para La Rodilla,Armadura Para La Rodilla,Sujeto 4,Sueño,True,True,exacto
MAINEL,MAINEL,Baranda De Una Escalera,Baranda De Una Escalera,Sujeto 4,Sueño,True,True,exacto
JABARDO,JABARDO,Aglomeración De Gente,Aglomeración De Gente,Sujeto 4,Sueño,True,True,exacto
SAMARUGO,,Renacuajo De Una Rana,Renacuajo De Una Rana,Sujeto 4,Sueño,False,True,exacto
BADINA,BADINA,Charco De Agua,Charco De Agua,Sujeto 4,Sueño,True,True,exacto
TINELO,TIBELO,Comedor Para La Servidumbre,cuarto de la servidumbre,Sujeto 4,Sueño,False,True,cuarto de la servidumbre conserva contexto funcional
NENIA,NEINA,Poema Fúnebre,Poema Fúnebre,Sujeto 4,Sueño,False,True,exacto
CÍTOLA,CÍTOLA,Instrumento Musical Antiguo,Instrumento Musical Antiguo,Sujeto 4,Sueño,True,True,exacto
